32 199.124 177.963
48 285.158 249.684
64 400.075 349.623
96 589.729 521.635
128 761.062 560.403
192 1158.83 1040.07
256 1499.51 1294.02
384 2126.49 1862.49
512 2762.29
768 3930.06 3373.51
1024 5036.36 4382.12
1536 6577.57 5657.11
2048 8252.64
3072 12177.5 10633
4096 14396.6 12975.1
6144 20627.7
8192 23578.6 21317.9
12288 24063.4
16384 31883.6 30012.2
24576 38696.1
32768 49328
49152 53703.6 51362.4
65536 60996.5
98304 71215.5 228342
131072 81134.8
196608 86031 360536
262144 92565
393216 96577.8
524288 102461 1.54658e+06
